,PCU3353133531
2003-12-01,100.0
2004-01-01,100.2
2004-02-01,99.9
2004-03-01,100.5
2004-04-01,100.9
2004-05-01,101.3
2004-06-01,101.8
2004-07-01,102.3
2004-08-01,102.5
2004-09-01,102.8
2004-10-01,103.2
2004-11-01,103.0
2004-12-01,104.0
2005-01-01,105.6
2005-02-01,105.8
2005-03-01,106.4
2005-04-01,106.7
2005-05-01,106.6
2005-06-01,107.2
2005-07-01,106.9
2005-08-01,107.0
2005-09-01,108.0
2005-10-01,108.4
2005-11-01,109.0
2005-12-01,109.0
2006-01-01,110.1
2006-02-01,110.6
2006-03-01,111.0
2006-04-01,111.6
2006-05-01,111.7
2006-06-01,113.2
2006-07-01,113.9
2006-08-01,115.1
2006-09-01,116.3
2006-10-01,116.7
2006-11-01,116.7
2006-12-01,117.3
2007-01-01,118.1
2007-02-01,119.3
2007-03-01,119.9
2007-04-01,120.3
2007-05-01,120.3
2007-06-01,120.3
2007-07-01,120.7
2007-08-01,120.7
2007-09-01,121.7
2007-10-01,121.7
2007-11-01,122.1
2007-12-01,122.4
2008-01-01,123.4
2008-02-01,124.1
2008-03-01,125.1
2008-04-01,125.8
2008-05-01,126.3
2008-06-01,127.3
2008-07-01,128.7
2008-08-01,129.2
2008-09-01,130.2
2008-10-01,130.5
2008-11-01,128.9
2008-12-01,128.7
2009-01-01,128.6
2009-02-01,128.5
2009-03-01,129.2
2009-04-01,129.2
2009-05-01,128.6
2009-06-01,129.0
2009-07-01,128.9
2009-08-01,129.8
2009-09-01,130.0
2009-10-01,130.2
2009-11-01,130.7
2009-12-01,130.9
2010-01-01,131.3
2010-02-01,131.7
2010-03-01,132.2
2010-04-01,132.4
2010-05-01,132.8
2010-06-01,133.6
2010-07-01,133.5
2010-08-01,133.7
2010-09-01,133.6
2010-10-01,133.9
2010-11-01,134.3
2010-12-01,134.6
2011-01-01,135.2
2011-02-01,135.8
2011-03-01,136.9
2011-04-01,137.3
2011-05-01,137.4
2011-06-01,138.2
2011-07-01,138.4
2011-08-01,138.4
2011-09-01,138.3
2011-10-01,138.0
2011-11-01,138.1
2011-12-01,138.4
2012-01-01,139.1
2012-02-01,139.4
2012-03-01,139.0
2012-04-01,139.3
2012-05-01,139.2
2012-06-01,138.8
2012-07-01,138.3
2012-08-01,138.6
2012-09-01,138.5
2012-10-01,138.6
2012-11-01,138.5
2012-12-01,138.6
2013-01-01,139.8
2013-02-01,139.8
2013-03-01,140.0
2013-04-01,139.8
2013-05-01,140.0
2013-06-01,139.9
2013-07-01,140.0
2013-08-01,140.1
2013-09-01,140.4
2013-10-01,140.4
2013-11-01,140.7
2013-12-01,140.6
2014-01-01,141.2
2014-02-01,141.3
2014-03-01,140.9
2014-04-01,141.0
2014-05-01,141.0
2014-06-01,140.8
2014-07-01,141.2
2014-08-01,141.1
2014-09-01,141.2
2014-10-01,141.1
2014-11-01,141.0
2014-12-01,141.0
2015-01-01,141.1
2015-02-01,140.9
2015-03-01,140.8
2015-04-01,140.5
2015-05-01,140.6
2015-06-01,140.5
2015-07-01,140.1
2015-08-01,140.2
2015-09-01,140.2
2015-10-01,139.8
2015-11-01,139.7
2015-12-01,139.7
2016-01-01,139.3
2016-02-01,139.5
2016-03-01,139.7
2016-04-01,139.7
2016-05-01,139.8
2016-06-01,139.9
2016-07-01,140.1
2016-08-01,140.3
2016-09-01,140.2
2016-10-01,140.4
2016-11-01,140.3
2016-12-01,140.5
2017-01-01,140.7
2017-02-01,141.1
2017-03-01,141.5
2017-04-01,141.8
2017-05-01,141.9
2017-06-01,141.9
2017-07-01,141.9
2017-08-01,141.8
2017-09-01,142.0
2017-10-01,142.2
2017-11-01,142.4
2017-12-01,142.5
2018-01-01,143.3
2018-02-01,143.8
2018-03-01,144.2
2018-04-01,144.5
2018-05-01,144.4
2018-06-01,144.7
2018-07-01,145.5
2018-08-01,145.6
2018-09-01,146.4
2018-10-01,146.3
2018-11-01,146.4
2018-12-01,146.7
2019-01-01,147.2
2019-02-01,147.2
2019-03-01,147.8
2019-04-01,147.8
2019-05-01,147.9
2019-06-01,148.1
2019-07-01,148.3
2019-08-01,148.5
2019-09-01,149.7
2019-10-01,149.3
2019-11-01,149.5
2019-12-01,150.0
2020-01-01,150.6
2020-02-01,150.8
2020-03-01,150.5
2020-04-01,150.6
2020-05-01,150.4
2020-06-01,150.6
2020-07-01,151.2
2020-08-01,150.8
2020-09-01,151.1
2020-10-01,151.4
2020-11-01,151.8
2020-12-01,152.0
2021-01-01,152.4
2021-02-01,153.3
2021-03-01,154.4
2021-04-01,155.4
2021-05-01,156.8
2021-06-01,158.8
2021-07-01,160.477
2021-08-01,160.948
2021-09-01,164.93
2021-10-01,166.366
2021-11-01,169.37
2021-12-01,171.635
2022-01-01,176.58
