,PCUATRADEATRADE
2006-12-01,100.0
2007-01-01,102.2
2007-02-01,102.4
2007-03-01,102.7
2007-04-01,103.1
2007-05-01,104.6
2007-06-01,104.4
2007-07-01,104.4
2007-08-01,104.4
2007-09-01,103.8
2007-10-01,105.1
2007-11-01,104.3
2007-12-01,103.9
2008-01-01,105.2
2008-02-01,105.1
2008-03-01,105.2
2008-04-01,106.6
2008-05-01,107.0
2008-06-01,108.5
2008-07-01,109.1
2008-08-01,110.1
2008-09-01,110.2
2008-10-01,110.8
2008-11-01,110.7
2008-12-01,111.5
2009-01-01,110.0
2009-02-01,110.7
2009-03-01,111.6
2009-04-01,111.7
2009-05-01,110.9
2009-06-01,111.8
2009-07-01,112.2
2009-08-01,111.4
2009-09-01,111.4
2009-10-01,111.2
2009-11-01,111.6
2009-12-01,111.8
2010-01-01,112.6
2010-02-01,113.2
2010-03-01,113.2
2010-04-01,113.7
2010-05-01,114.3
2010-06-01,112.7
2010-07-01,112.4
2010-08-01,112.8
2010-09-01,113.2
2010-10-01,113.7
2010-11-01,113.5
2010-12-01,113.2
2011-01-01,112.8
2011-02-01,114.1
2011-03-01,115.8
2011-04-01,115.7
2011-05-01,117.3
2011-06-01,116.8
2011-07-01,116.0
2011-08-01,117.8
2011-09-01,118.0
2011-10-01,116.9
2011-11-01,116.9
2011-12-01,116.6
2012-01-01,116.9
2012-02-01,117.7
2012-03-01,118.6
2012-04-01,118.5
2012-05-01,119.0
2012-06-01,119.0
2012-07-01,118.4
2012-08-01,117.9
2012-09-01,118.8
2012-10-01,120.2
2012-11-01,120.8
2012-12-01,120.8
2013-01-01,119.9
2013-02-01,120.4
2013-03-01,121.4
2013-04-01,122.1
2013-05-01,120.6
2013-06-01,121.1
2013-07-01,121.9
2013-08-01,121.7
2013-09-01,122.1
2013-10-01,122.8
2013-11-01,123.0
2013-12-01,122.1
2014-01-01,122.4
2014-02-01,123.3
2014-03-01,124.5
2014-04-01,124.0
2014-05-01,124.6
2014-06-01,123.3
2014-07-01,124.5
2014-08-01,124.2
2014-09-01,123.9
2014-10-01,126.8
2014-11-01,125.9
2014-12-01,126.0
2015-01-01,126.3
2015-02-01,125.8
2015-03-01,126.9
2015-04-01,126.8
2015-05-01,126.5
2015-06-01,126.4
2015-07-01,127.5
2015-08-01,126.7
2015-09-01,127.4
2015-10-01,127.6
2015-11-01,127.1
2015-12-01,126.5
2016-01-01,127.4
2016-02-01,127.3
2016-03-01,127.4
2016-04-01,127.5
2016-05-01,127.4
2016-06-01,128.2
2016-07-01,127.7
2016-08-01,126.7
2016-09-01,127.9
2016-10-01,128.4
2016-11-01,128.2
2016-12-01,128.0
2017-01-01,128.5
2017-02-01,128.2
2017-03-01,129.3
2017-04-01,129.8
2017-05-01,130.1
2017-06-01,129.7
2017-07-01,129.7
2017-08-01,130.0
2017-09-01,130.7
2017-10-01,132.0
2017-11-01,131.3
2017-12-01,130.4
2018-01-01,130.6
2018-02-01,131.6
2018-03-01,131.2
2018-04-01,131.6
2018-05-01,132.1
2018-06-01,132.7
2018-07-01,132.3
2018-08-01,132.0
2018-09-01,131.9
2018-10-01,133.9
2018-11-01,134.0
2018-12-01,133.9
2019-01-01,134.1
2019-02-01,134.5
2019-03-01,135.5
2019-04-01,136.4
2019-05-01,136.1
2019-06-01,136.3
2019-07-01,135.9
2019-08-01,137.6
2019-09-01,137.5
2019-10-01,138.4
2019-11-01,137.2
2019-12-01,137.1
2020-01-01,137.0
2020-02-01,137.8
2020-03-01,139.0
2020-04-01,139.6
2020-05-01,139.1
2020-06-01,139.4
2020-07-01,140.4
2020-08-01,141.0
2020-09-01,141.5
2020-10-01,143.4
2020-11-01,142.2
2020-12-01,142.3
2021-01-01,143.6
2021-02-01,144.5
2021-03-01,145.6
2021-04-01,149.0
2021-05-01,150.9
2021-06-01,153.4
2021-07-01,155.073
2021-08-01,158.668
2021-09-01,158.019
2021-10-01,159.147
2021-11-01,159.333
2021-12-01,159.297
2022-01-01,159.28
