,PCUAWHLTRAWHLTR
2006-12-01,100.0
2007-01-01,102.2
2007-02-01,103.2
2007-03-01,103.0
2007-04-01,102.5
2007-05-01,103.2
2007-06-01,101.3
2007-07-01,101.7
2007-08-01,104.0
2007-09-01,102.4
2007-10-01,104.0
2007-11-01,102.6
2007-12-01,103.0
2008-01-01,104.7
2008-02-01,105.1
2008-03-01,105.2
2008-04-01,105.7
2008-05-01,107.8
2008-06-01,109.4
2008-07-01,109.4
2008-08-01,111.4
2008-09-01,111.5
2008-10-01,112.8
2008-11-01,112.4
2008-12-01,114.5
2009-01-01,113.5
2009-02-01,115.5
2009-03-01,116.1
2009-04-01,117.0
2009-05-01,115.7
2009-06-01,116.5
2009-07-01,117.5
2009-08-01,116.6
2009-09-01,115.7
2009-10-01,116.5
2009-11-01,114.9
2009-12-01,115.6
2010-01-01,118.4
2010-02-01,117.5
2010-03-01,118.5
2010-04-01,117.2
2010-05-01,118.2
2010-06-01,118.1
2010-07-01,116.4
2010-08-01,117.7
2010-09-01,117.9
2010-10-01,117.2
2010-11-01,117.8
2010-12-01,117.2
2011-01-01,116.9
2011-02-01,118.2
2011-03-01,119.7
2011-04-01,120.8
2011-05-01,123.2
2011-06-01,122.0
2011-07-01,121.9
2011-08-01,123.2
2011-09-01,122.2
2011-10-01,120.8
2011-11-01,119.6
2011-12-01,120.1
2012-01-01,121.5
2012-02-01,121.6
2012-03-01,122.2
2012-04-01,120.6
2012-05-01,121.1
2012-06-01,121.1
2012-07-01,122.0
2012-08-01,121.5
2012-09-01,122.9
2012-10-01,123.9
2012-11-01,124.9
2012-12-01,124.8
2013-01-01,125.9
2013-02-01,124.2
2013-03-01,125.2
2013-04-01,125.9
2013-05-01,124.3
2013-06-01,125.0
2013-07-01,125.8
2013-08-01,125.2
2013-09-01,125.8
2013-10-01,125.6
2013-11-01,127.0
2013-12-01,126.8
2014-01-01,127.8
2014-02-01,128.1
2014-03-01,129.0
2014-04-01,128.7
2014-05-01,129.2
2014-06-01,128.1
2014-07-01,128.6
2014-08-01,128.3
2014-09-01,128.3
2014-10-01,130.0
2014-11-01,129.7
2014-12-01,129.9
2015-01-01,131.1
2015-02-01,130.0
2015-03-01,131.4
2015-04-01,131.0
2015-05-01,131.3
2015-06-01,131.2
2015-07-01,132.5
2015-08-01,130.5
2015-09-01,131.2
2015-10-01,131.2
2015-11-01,130.6
2015-12-01,130.5
2016-01-01,131.7
2016-02-01,131.8
2016-03-01,131.6
2016-04-01,130.9
2016-05-01,131.4
2016-06-01,131.9
2016-07-01,131.5
2016-08-01,130.3
2016-09-01,131.3
2016-10-01,131.1
2016-11-01,131.6
2016-12-01,132.4
2017-01-01,132.5
2017-02-01,132.3
2017-03-01,132.9
2017-04-01,134.0
2017-05-01,134.5
2017-06-01,134.3
2017-07-01,135.1
2017-08-01,135.6
2017-09-01,136.3
2017-10-01,136.2
2017-11-01,136.3
2017-12-01,135.6
2018-01-01,136.4
2018-02-01,136.4
2018-03-01,135.9
2018-04-01,136.4
2018-05-01,137.2
2018-06-01,137.8
2018-07-01,138.0
2018-08-01,137.3
2018-09-01,137.1
2018-10-01,138.7
2018-11-01,138.4
2018-12-01,138.4
2019-01-01,139.7
2019-02-01,139.9
2019-03-01,141.6
2019-04-01,142.5
2019-05-01,142.8
2019-06-01,142.0
2019-07-01,142.4
2019-08-01,143.3
2019-09-01,142.9
2019-10-01,143.5
2019-11-01,143.2
2019-12-01,143.7
2020-01-01,143.2
2020-02-01,142.9
2020-03-01,143.2
2020-04-01,142.7
2020-05-01,144.0
2020-06-01,145.6
2020-07-01,146.1
2020-08-01,146.1
2020-09-01,145.3
2020-10-01,146.6
2020-11-01,147.2
2020-12-01,148.9
2021-01-01,149.5
2021-02-01,150.1
2021-03-01,150.4
2021-04-01,152.6
2021-05-01,155.3
2021-06-01,157.7
2021-07-01,161.087
2021-08-01,167.054
2021-09-01,164.531
2021-10-01,165.673
2021-11-01,165.68
2021-12-01,165.08
2022-01-01,165.222
