contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,bid,volume
ACH220218P00007000,7.0,USD,0.49,0.0,0.0,15,0.75,REGULAR,2022-02-18,2021-11-10 11:49:49,5.210940986328124,False,,
ACH220218P00009000,9.0,USD,0.15,0.0,0.0,3,0.4,REGULAR,2022-02-18,2021-10-21 13:30:05,2.7734405664062503,False,0.1,
ACH220218P00010000,10.0,USD,0.25,0.0,0.0,0,0.25,REGULAR,2022-02-18,2021-12-07 16:47:26,2.156254609375,False,0.1,4.0
ACH220218P00011000,11.0,USD,0.25,0.0,0.0,12,0.85,REGULAR,2022-02-18,2022-01-28 17:18:03,2.3671915820312495,False,0.0,2.0
ACH220218P00012000,12.0,USD,0.17,0.0,0.0,176,0.8,REGULAR,2022-02-18,2022-01-26 19:06:21,1.9394534277343751,False,0.0,1.0
ACH220218P00013000,13.0,USD,0.45,0.0,0.0,51,0.25,REGULAR,2022-02-18,2022-02-04 15:04:34,1.08203583984375,False,0.0,1.0
ACH220218P00014000,14.0,USD,0.3,0.0,0.0,12,0.3,REGULAR,2022-02-18,2022-02-08 14:50:04,0.8554701953125,False,0.0,3.0
ACH220218P00015000,15.0,USD,0.5,0.0,0.0,248,0.5,REGULAR,2022-02-18,2022-02-08 16:21:23,0.7695335546875001,False,0.1,8.0
ACH220218P00016000,16.0,USD,0.48,-2.18,-81.95489,1,0.9,REGULAR,2022-02-18,2022-02-09 15:22:26,0.70898728515625,False,0.3,1.0
ACH220218P00017000,17.0,USD,4.8,0.0,0.0,19,3.1,REGULAR,2022-02-18,2021-11-26 15:33:28,2.1718795703125,True,2.35,1.0
ACH220218P00018000,18.0,USD,5.5,0.0,0.0,21,2.05,REGULAR,2022-02-18,2022-01-28 15:34:09,0.6835969140625001,True,1.7,1.0
ACH220218P00019000,19.0,USD,5.6,0.0,0.0,1,4.6,REGULAR,2022-02-18,2021-12-13 17:31:02,2.2011763720703117,True,3.6,1.0
ACH220218P00020000,20.0,USD,2.81,0.0,0.0,2,7.1,REGULAR,2022-02-18,2021-11-10 11:49:49,3.6250009375000003,True,5.6,2.0
ACH220218P00021000,21.0,USD,3.02,0.0,0.0,2,8.1,REGULAR,2022-02-18,2021-11-10 11:49:49,4.08789551513672,True,7.1,1.0
ACH220218P00022000,22.0,USD,5.0,0.0,0.0,3,9.1,REGULAR,2022-02-18,2021-11-10 11:49:49,4.2539109326171864,True,8.0,1.0
ACH220218P00025000,25.0,USD,5.1,0.0,0.0,2,12.2,REGULAR,2022-02-18,2021-11-10 11:49:49,4.8496133129882795,True,11.0,1.0
ACH220218P00028000,28.0,USD,14.61,0.0,0.0,1,18.0,REGULAR,2022-02-18,2021-11-05 13:41:31,6.648439189453127,True,14.1,1.0
